"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"davis","rodney","200","IL","federal:house","IL13","I","M",1.02,1.105,10330,"5011860.29 USD",1,"W",54.46,"W"
"gabbard","tulsi","100","HI","federal:house","HI02","I","F",-0.597,-0.66,137231,"737136.68 USD",NA,NA,NA,NA
"collins","douglas","200","GA","federal:house","GA09","I","M",1.322,1.393,13162,"1858809.75 USD",NA,NA,NA,NA
"brownley","julia","100","CA","federal:house","CA26","I","F",-1.007,-1.008,21610,"2013696.47 USD",0.5585,"W",60.58,"W"
"barkley","michael","100","CA","federal:house","CA10","C","M",-1.12,-1.038,564,"7792.19 USD",0.0352,"L",NA,NA
"duffy","sean","200","WI","federal:house","WI07","I","M",1.411,1.39,5632,"1181751.43 USD",NA,NA,NA,NA
"herrera beutler","jaime","200","WA","federal:house","WA03","I","F",1.234,1.154,12222,"4623991.32 USD",0.5624,"W",56.37,"W"
"heck","dennis","100","WA","federal:house","WA10","I","M",-0.554,-0.755,4498,"492416.82 USD",NA,NA,NA,NA
"griffith","h morgan","200","VA","federal:house","VA09","I","M",1.163,1.228,3967,"877151.28 USD",1,"W",93.98,"W"
"kadir","omar","100","TX","federal:house","TX31","C","M",-1.168,-1.065,4,"235.3 USD",NA,NA,NA,NA
"pruneda","mateo","100","TX","federal:house","TX26","C","M",-1.128,-1.139,88,"33256.45 USD",0.2801,"L",NA,NA
"kuzmich","stephen","328","TX","federal:house","TX24","C","M",0.308,0.507,45,"175504.46 USD",NA,"L",1.23,"L"
"hurd","william","200","TX","federal:house","TX23","I","M",1.098,1.245,4687,"1277366.69 USD",NA,NA,NA,NA
"walz","thaddeus","200","TX","federal:house","TX22","C","M",2.39,2.516,7,"54951.82 USD",0.0142,"L",NA,NA
"flores","bill","200","TX","federal:house","TX17","I","M",1.077,1.276,3171,"415115.87 USD",NA,NA,NA,NA
"khan","imran","100","TX","federal:house","TX06","C","M",-0.911,NA,40,"0 USD",NA,NA,NA,NA
"cardnell","elisa","100","TX","federal:house","TX02","C","F",-0.953,-0.92,2644,"388780.87 USD",0.3102,"L",NA,NA
"fleischmann","charles","200","TN","federal:house","TN03","I","M",1.102,1.173,3750,"1057453.39 USD",1,"W",67.3,"W"
"spawn","ellee","100","SD","federal:house","SD01","C","F",-1.247,-0.977,20,"0 USD",NA,NA,NA,NA
"covert","michael","200","SC","federal:house","SC01","C","M",1.453,NA,102,"176002.01 USD",NA,NA,NA,NA
"brier","thomas","100","PA","federal:house","PA10","C","M",-0.623,-0.752,1483,"670965.37 USD",0.425,"L",NA,NA
"hendricks","darryl","100","PA","federal:house","PA07","C","M",1.247,1.198,7318,"3740779.05 USD",0.5212,"W",48.07,"L"
"gibbs","robert","200","OH","federal:house","OH07","I","M",0.753,1.156,3398,"791888.23 USD",1,"W",67.5,"W"
"whitmer","duane","328","NY","federal:house","NY27","C","M",1.108,1.183,14,"36056.18 USD",0.746,"W",1.27,"L"
"serrano","jose","100","NY","federal:house","NY15","I","M",-0.678,-0.489,2031,"17751 USD",NA,NA,NA,NA
"ortiz","jonathan","100","NY","federal:house","NY15","C","M",-1.069,-1.054,50,"9505.55 USD",NA,NA,NA,NA
"malliotakis","nicole","200","NY","federal:house","NY11","C","F",1.002,0.894,17542,"3506503.67 USD",0.6868,"W",48.9,"W"
"weinstock","michael","100","NY","federal:house","NY03","C","M",-0.47,-0.423,179,"88588 USD",0.0772,"L",NA,NA
"mathys","chris","200","NM","federal:house","NM02","C","M",1.271,1.361,15,"316132 USD",0.2378,"L",NA,NA
