"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
360594071024006,60,14,8,43,41,0,4,21,53,NA,1,NA,2,1,1
360775903001064,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,1,NA
360070005003016,2,0,2,3,1,0,1,0,4,NA,NA,NA,NA,NA,NA
360270100003012,2,1,0,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA
361031224061022,7,1,0,3,5,0,0,0,7,NA,NA,NA,NA,NA,NA
360810263002004,181,70,35,138,156,0,7,17,266,NA,1,NA,2,1,1
360471020001007,144,18,7,68,103,0,4,34,124,NA,1,NA,2,NA,2
360810054001003,74,26,13,52,65,1,1,8,96,NA,1,NA,NA,1,3
360150112002001,5,12,16,17,20,0,9,26,0,NA,1,NA,1,1,1
360811291041001,27,30,8,34,32,0,5,29,13,NA,1,1,1,NA,1
360594064006015,6,7,24,21,20,0,2,25,5,NA,NA,NA,1,NA,1
360290090071024,7,6,8,12,10,0,3,16,4,NA,1,1,NA,NA,1
360570724001023,7,2,3,8,5,0,1,8,0,NA,1,NA,2,NA,2
361019604004003,9,4,12,11,14,0,6,20,2,NA,1,NA,NA,NA,2
360775904001106,1,1,2,3,2,0,0,0,4,NA,1,NA,NA,NA,5
360870109022020,5,2,0,4,3,0,0,1,0,NA,NA,NA,NA,NA,NA
360670118004001,25,25,30,41,46,0,13,52,6,NA,1,1,1,1,2
360730406001044,4,0,5,4,5,0,3,9,0,NA,NA,NA,NA,NA,1
361170216002012,1,1,3,2,3,0,1,3,0,NA,3,NA,NA,NA,1
360272000021022,24,7,15,25,27,0,1,10,21,1,2,1,2,1,1
360870113013003,2,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
361031908002004,22,5,1,16,13,0,0,10,15,NA,1,NA,NA,NA,3
360499501001099,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360390810003030,6,1,2,5,8,0,0,11,0,NA,1,NA,NA,NA,NA
360239704002034,1,1,2,2,3,0,0,4,0,NA,NA,NA,NA,NA,NA
360550112052000,19,12,19,26,31,0,14,43,0,NA,1,1,1,1,2
360550018005005,71,29,5,38,71,0,3,26,33,NA,2,NA,1,NA,3
360390807003013,1,2,5,4,4,0,0,0,7,NA,NA,NA,NA,NA,NA
361119536003019,27,40,24,40,61,0,10,57,21,NA,1,1,2,2,2
360894917003042,9,1,2,5,7,0,0,1,4,NA,NA,NA,NA,NA,NA
361031229014023,7,5,7,6,15,0,3,14,4,2,1,NA,2,NA,2
360710116021032,4,5,5,11,7,0,1,7,1,NA,NA,NA,NA,NA,1
360550112052014,12,7,14,17,20,0,14,1,36,NA,1,NA,1,NA,1
360594132004005,12,14,20,22,28,0,8,21,18,NA,1,NA,1,NA,1
360594133006011,39,31,34,56,58,0,19,79,12,NA,1,1,1,NA,2
360270701011043,46,10,25,29,58,0,3,0,83,1,1,1,1,NA,3
360471006001000,86,13,4,43,64,0,3,37,44,NA,1,1,NA,NA,1
360070018003005,66,55,47,84,96,0,17,96,42,1,1,1,1,1,2
360894907001022,9,2,2,7,6,0,5,11,0,NA,1,NA,1,2,2
360957408001043,5,1,12,12,9,0,2,14,1,NA,1,NA,1,NA,NA
360010140021010,28,23,10,34,34,0,4,35,17,NA,1,NA,NA,1,1
360290039011012,17,3,6,17,10,0,1,0,27,NA,NA,NA,NA,NA,NA
361219703001024,0,1,1,1,2,0,2,3,0,NA,1,NA,NA,NA,NA
360894906003022,0,1,1,2,1,0,1,2,0,NA,NA,NA,NA,NA,NA
361059524001063,2,5,1,4,4,0,0,4,0,2,2,NA,1,NA,2
360130364014011,0,2,2,3,2,0,0,0,5,NA,NA,NA,1,NA,7
360550131031028,10,1,0,5,6,0,0,0,3,NA,NA,NA,NA,NA,NA
360710107002018,13,6,2,11,13,0,4,10,4,NA,1,NA,1,NA,3
361190014022007,39,20,16,33,44,0,6,44,21,NA,1,1,3,NA,2
361059502004036,1,0,2,2,3,0,0,2,1,NA,NA,NA,1,2,1
360471078001013,119,14,5,57,84,0,5,17,106,NA,1,1,1,1,2
360850201001000,56,12,8,49,34,0,6,24,48,NA,NA,NA,1,NA,1
360210004011042,1,0,2,4,2,0,1,3,0,NA,1,NA,NA,NA,NA
360790101002048,1,0,2,0,3,0,0,2,0,NA,2,NA,1,4,3
360191009004001,1,0,3,2,2,0,0,4,0,NA,1,NA,NA,NA,NA
360210012004005,27,4,0,15,16,0,0,3,24,1,1,NA,NA,NA,NA
360670017022009,22,10,6,15,26,0,2,17,16,NA,NA,NA,1,NA,2
360594090004007,30,15,44,51,44,0,17,47,19,NA,2,NA,1,1,1
360471164002002,67,10,0,36,43,0,2,24,45,NA,1,1,NA,4,2
360130373003042,2,2,1,3,2,0,1,4,0,NA,1,NA,NA,NA,1
360910601021029,16,10,24,24,26,0,7,33,9,NA,2,NA,1,1,3
360810929001009,30,17,16,27,38,0,7,25,31,NA,1,NA,1,NA,2
360894910001015,41,28,33,54,54,0,21,72,15,4,1,1,1,2,2
360210018001073,2,4,8,9,8,0,1,10,4,3,1,3,1,2,3
360150009005005,2,2,4,4,5,0,0,4,1,NA,1,1,3,NA,3
360290080032003,27,11,16,27,31,0,9,35,13,NA,1,1,1,1,1
360259708004058,0,0,1,1,0,0,1,1,0,NA,NA,1,NA,NA,2
360650228002057,1,4,13,11,9,0,0,10,1,NA,1,NA,NA,1,1
360470774001006,1,3,0,3,1,0,0,0,4,NA,NA,NA,NA,NA,NA
360050060001008,2,1,1,2,2,0,0,0,4,NA,NA,NA,NA,NA,NA
360690518001011,35,32,14,36,49,0,8,23,30,NA,1,1,4,3,3
360957404004062,0,0,3,2,1,0,2,3,0,NA,NA,NA,NA,NA,1
360191006005007,4,3,3,6,5,0,3,8,1,NA,1,NA,1,NA,1
360110406001052,3,5,17,14,11,0,3,21,0,NA,1,NA,NA,1,2
361031108033002,20,36,44,56,51,0,14,70,6,2,2,1,3,1,2
360270602024005,5,2,10,7,10,0,4,15,0,NA,2,NA,NA,1,1
360070004001016,15,10,13,20,21,0,12,22,14,1,1,1,2,NA,2
360594075011005,61,22,7,41,50,0,2,14,64,1,1,2,1,1,4
360710133002001,16,15,23,27,31,0,11,25,20,NA,1,NA,4,2,3
360910605031022,1,2,0,2,1,0,0,1,0,NA,NA,NA,NA,NA,4
360510313002271,2,1,7,4,6,0,2,9,0,NA,NA,NA,NA,NA,NA
361031354012011,11,16,19,27,22,0,6,34,7,NA,1,NA,1,1,1
360670049002010,24,13,9,23,24,0,5,34,5,NA,2,1,1,NA,3
361090006001023,4,1,0,2,3,0,0,1,0,NA,NA,NA,NA,NA,1
360593026001016,17,10,14,19,26,0,4,12,25,NA,1,NA,4,NA,3
360595175001026,7,2,12,11,13,0,3,15,5,NA,2,NA,1,1,1
361119554001019,6,8,10,18,16,0,4,22,1,NA,1,NA,NA,NA,1
360710136001038,2,5,1,3,5,0,0,0,8,NA,NA,NA,NA,NA,NA
361019630003047,0,0,4,2,2,0,2,4,0,NA,3,1,3,NA,6
361190026002007,135,34,5,67,113,0,1,42,123,NA,1,1,1,NA,2
360930323001011,6,10,7,10,14,0,2,14,0,NA,NA,NA,NA,NA,1
360850201002010,12,7,5,17,8,0,2,6,11,NA,1,NA,NA,NA,NA
360610229004001,866,139,56,499,593,1,16,13,1068,1,1,1,1,1,1
360499507005062,1,0,4,3,4,0,0,3,0,NA,1,NA,NA,NA,NA
360850040007007,9,3,2,7,9,0,0,4,11,NA,2,NA,NA,1,1
360710106001007,0,4,2,3,4,0,0,6,0,NA,2,NA,1,2,4
360870114033001,12,4,4,10,12,0,4,11,10,NA,NA,NA,NA,NA,NA
361031473005008,2,3,0,4,1,0,0,2,0,NA,NA,1,NA,NA,3
360550146022048,41,16,37,44,55,0,7,67,11,1,1,1,2,1,2
361190045001003,14,1,8,8,15,0,1,5,8,NA,1,NA,NA,NA,1
360179705001091,2,2,2,4,3,0,0,2,2,NA,NA,NA,NA,NA,NA
360594053011002,6,4,8,10,8,0,4,10,7,NA,1,NA,NA,NA,1
361019603003006,9,5,16,15,20,0,6,21,3,NA,1,1,1,NA,2
360290058022010,22,11,2,18,17,0,2,8,18,NA,1,NA,NA,NA,2
360379502005031,14,18,32,38,33,0,20,47,0,NA,1,1,3,2,3
360594158024005,4,9,15,13,17,0,0,15,8,NA,1,NA,1,2,4
360239711001076,12,13,36,41,26,0,16,45,6,NA,1,NA,1,NA,1
360670144002071,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
361031699023004,5,9,10,15,11,0,1,11,0,NA,1,2,NA,NA,1
360593034001008,9,4,17,16,18,0,8,28,0,NA,1,1,3,NA,1
361119510002015,3,0,2,2,3,0,0,2,0,NA,NA,NA,2,NA,2
361031103005008,18,16,17,26,29,0,8,34,0,NA,4,1,1,1,2
360210014001000,1,1,0,0,2,0,0,1,0,NA,NA,NA,NA,NA,NA
360850112022022,16,16,26,31,29,0,4,35,6,NA,1,NA,NA,NA,2
360150101004046,2,0,3,2,3,0,0,5,0,NA,NA,NA,NA,2,4
360594116002031,3,6,1,7,3,0,3,2,0,NA,1,NA,NA,NA,NA
360290146012003,17,5,10,13,20,0,8,29,0,3,1,1,NA,1,2
360730404002031,7,2,7,11,8,0,2,3,9,NA,1,NA,5,1,NA
360594053012012,3,20,28,19,32,0,9,27,15,NA,1,1,1,4,1
361150820021068,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
